"subject";"id";"subject";"thread";"from_unixtime(jos_kunena_messages.time,'%Y-%m-%dT%T')";"message"
"暇满难得之13课：暇满之因、暇满之喻";"3192";"暇满难得之13课：暇满之因、暇满之喻";"135";"2016-11-22T18:49:59";"索达吉堪布 前行广释27课前面通过六道众生的数量进行对比，得出了人身难得的结论。下面进一步阐述这个道理：这样的暇满人身，并不是平白无故或偶尔侥幸获得的，而是多生累劫中积集福慧二资的果报。正如《前行备忘录》所说：“要得到闲暇，需要守护清净戒律；要得到圆满，必须大量累积布施等福善。为了获得暇满人身，还要以清净的发愿来衔接……”佛经中讲过四种难得——人身难得、佛法难遇、正法难生信、菩提心难发，而我们如今四者已一一具足，这完全是往昔积累过智慧资粮和福德资粮，即生中才有如此殊胜的因缘。有些人赚到很多钱，就觉得福报真大，其实钱即使赚得再多，也只能得一些暂时利益，不像获得人身一样，能够解决生生世世的大事。所以，大家对此应当再三思维，这就是修行人身难得。所谓修行，不一定非要闭着眼修出什么，也不一定要看到明点，若对此道理反反复复观察，最后不是假装的、也不是改造的，而是自然生起“修学佛法的人身来之不易”的定解，并对自己得到人身感到庆幸，这说明你对人身难得有所感悟。这种修行其实没什么不会的，有些道友说：“我早上起来观半天，不知道业力深重还是什么，一直观不出来，非常痛苦，只好又睡下去。”其实你再怎么笨、分别念再怎么涌现，对此道理也可以反反复复读、反反复复思维，这没什么不懂的。大智者称幢 说：“得暇满人身，非由力强得，乃是积福果。”我们能获得远离八无暇、具足十圆满的人身，并不是因为自己力量强大，也不是因为有地位、有钱财、有名声，（不像世间有些领导一样，官位是用钱买的、凭关系得的，）而唯一是因为往昔多劫中积累过福报、做过善事。你们不要认为自己出家纯属巧合，是偶尔对家庭产生了出离心，实际上它有非常奇妙的因果。很多人喜欢说“命中注定”、“命运不可改”，其实若以《俱舍论》和因明的观点来解释，你不得不承认前因后果，如果懂得了深奥的因果，就会明白一啄一饮莫非前定，现在的一切皆有因有果。明白这个道理后，只要是有智慧的人，对未来漫长的生死问题必然会考虑，如此一来，就不得不关心人身的价值，不可能将其随意空耗。然而，对无有正法光明的人来说，虽然得到了人身，可是杀盗淫妄无恶不作，这比恶趣众生还下劣。为什么呢？因为如果是一个旁生，由于生性愚笨，所造的恶业毕竟有限，而人类在某些领域很聪明，能制造核武器、原子弹等各种武器，瞬间即可毁灭地球上的所有生命。有些人虽没有能力这么大面积地造业，可是他从小养成非常不好的习惯，天天杀鸡宰鱼，吞食无数生命，以滋养自己的血肉之躯。相比之下，旁生尽管身处恶趣，却不会如此无所不为、罪业滔天，就拿山上的牦牛、山羊来说，它们一辈子都吃草喝水，生活非常清净。有些人真的特别可怕，造恶业无所不专、无所不精，造善业却一点能力都没有，对三宝根本不相信，连磕一个头、供一盏灯、烧一支香，一生中也从来没做过。我们周围就有这样的人，他们随处可见、比比皆是，用不着我们在屋里使劲观想，通过其所作所为也可以看出，他们的人身毫无价值。诚如米拉日巴尊者对猎人怙主金刚所说：“本来佛讲暇满人身珍贵难得，但看见像你这样的人，便会觉得人身并没有什么珍贵难得的。”大家可能也看过米拉日巴的传记，当时尊者住在西藏与尼泊尔交界处的尼香古打山上，有一天，突然听见猎狗的狂吠声，随即又有“砰”一声枪响。不到片刻，只见一只黑鹿，通身汗如雨下，显出极度惊骇的样子，战栗栗地跑到尊者面前。尊者见状，不觉生起难忍的大悲心，对它唱了一首道歌，平息了它身心的恐惧和苦痛。黑鹿快乐地走近尊者，在尊者的左边卧下。过了一会儿，追擒这黑鹿的一只红色母狗，气势汹汹、大声狂吠地飞奔而来。尊者对母狗也生起极大的悲心，对它唱了一首道歌，平息了它的嗔恨心。母狗向尊者摇着尾巴，作出各种亲善的样子，随即在尊者的右边卧下。尊者忖道：“在这两个众生的后面，一定还有个罪业深重的人正在追寻，恐怕就要来了。”片刻间，只见一个凶狠残暴的猎人 ，眼露闪闪凶光，背着猎枪和弓箭，急急地跑近前来。他看见自己的猎狗和黑鹿竟像一对母子般静卧在尊者两旁，不禁想到：“这个瑜伽士一定是在我的狗和黑鹿身上施了什么法术！”于是将弓弦拉满，一箭射向尊者，谁知一向百发百中的他，竟没有射中。这时尊者又对他唱了一首道歌，其中有一句就是：“经云人身贵似宝，汝之人身不值钱。”（确实，猎人、渔夫、屠夫一生都在造恶业，真的非常非常可怜！）唱完以后，猎人觉得这个瑜伽士比较奇妙，或许是位与众不同的大成就者。于是他走进尊者的崖洞，到处仔细查看了一番，发现除了一些荨麻和野草根外，什么粮食和用具都没有。他不禁生起了无比的信心，马上把弓箭、猎物全部供养尊者，祈求尊者收他为徒，并发誓今后再也不造任何罪业。原本他想回去向家人交代一下，然后就回来依止尊者，（可能是办离婚手续吧。）尊者没有答应，让他立即斩断对家人的爱恋，当下就随自己修行……从历史上看，后来猎人怙主金刚成为很了不起的大成就者，而母狗和黑鹿也永远摆脱了恶趣的痛苦。米拉日巴生平有很多精彩的故事，有些人如果没有看过，还是应该看一下。米拉日巴在藏传佛教历史上，是非常了不起的修行者，他的道歌、金刚教言对后人有着深远影响，包括我自己在内，对此传记的信心也非常大。记得二十多年前在读初中时，我有一次生病在家，当时乡里有一位喇嘛，每天晚上给我们读《米拉日巴尊者传》，我就在他面前用了十几天的时间全部听完。那时候记性比较可以，许多故事能复述得下来。我病好上学以后，有一年夏天，跟同学索朗泽让去宗塔草原，那里遍地开满鲜花，非常美丽。我们先在河边洗了脚，然后坐在草地上，我给他讲了《米拉日巴尊者传》和一些故事，大概讲了一下午。他听着听着，眼泪就流下来了。虽然他成绩不太好，之后没能考上师范学校，但至今仍记得有些故事。去年他碰到我时，说：“我们读中学时，你就给我传过法，我的印象还是很深，当时对佛法生起了很大信心。”其实小小的一个故事，有时就能改变人的一生。我以前编《智海浪花》时，有些大学生读了米拉日巴的《传记》和《道歌集》后，开始对人生有了新的认识，最终踏上舍俗出家之路，这种现象不乏其数。言归正传，大家有时间、有机会的话，应该多观修人身难得。现在很多人，要么因为心力不够，要么因为没有机会，懂得人身难得的寥寥无几。放眼整个世界，许许多多人根本不像一个人——当然，在他们面前这样说，他们肯定不高兴，但实际上，他们的人身并没有丝毫意义。当今全球人口急剧膨胀，短短五十多年的时间里，其数量已从1950年的25亿，迅速增加到60多亿，预计再过几十年，人口将突破100亿大关。由于地球空间和资源有限，人口的急剧膨胀将会带来一系列资源问题、社会问题、经济问题、政治问题，人类的生存环境也会变得日趋狭窄。之所以导致这种局面，并不是因为行善的人越来越多，给世界带来了一片光明，而是人们不行善法、不信因果，造恶业的越来越多，以此原因，未来人类将面临着诸多问题和磨难。我们作为佛教徒，对这些现象不得不深思。现在人这么爱造恶业，其手段跟古人比起来有增无减，甚至超越无数倍，如今的伦理道德、人文教育也日渐薄弱，根本无法跟古人相比。所以，这个世界看似科学技术日新月异、不断向前发展，无数人对此纷纷歌功颂德，可是由于人心日益恶化，到了最后，生存在地球上的人类肯定越来越迷茫、越来越危险。因此，大家应多思维人身难得的道理，不要像这些世间人一样，整天鼓吹及时行乐。当然，我们也不是悲观主义者，对真假黑白看不出来，盲目地认为人生皆苦。毕竟佛教的智慧无比敏锐，超过任何世间学问，如果享乐真有一个亮点，佛教中可以发现得到，但佛陀从来也没有提倡过享乐，可想而知究竟是为什么。其实，如果造恶业，人身完全超过余道众生，再没有比人身更容易成为恶趣坠石的了。有些人一辈子所造的恶业，令自己万劫不复，多生累劫都在地狱受苦，比如一个领导发动战乱，或者毁坏佛法，其下场确实不堪设想。汉地历史上就有几次灭佛运动，其中规模最大的，莫过于“三武一宗 ”。北魏太武帝：他脾气暴躁、为人凶残，曾三次下诏打击佛教，令全国各地碎佛像、焚佛经，佛像经典无复遗存。同时，佛教沙门无论少长，全部坑杀，绝不留情。若有逃窜者，一经捕获，必将斩首示众或坑杀。因而，当时国境之内，看不见一个出家人。北周武帝：破毁寺塔，焚烧经像，勒令僧人还俗。后来他灭了北齐，又对北齐实行排佛政策，焚毁一切经像，废4万所寺庙，赐王公大臣充为地宅，300多万僧尼被迫还俗。佛教一时之间销声匿迹。唐武宗：下令焚烧皇宫内所有佛经，将宫中所供佛像皆深埋地下。令寺院停止讲经说法。在全国共废大、中寺院4600余所，废小寺庙近4万所，还俗僧尼约26万人。后周世宗：虽没有大量屠杀僧尼、焚毁佛经，但废减寺院3万多所，数万僧尼勒令还俗，销毁佛像用来铸钱，以充实国库。这几个朝代的皇帝，跟藏地的朗达玛灭佛差不多。他们一个人在一辈子中造的弥天大罪，非常非常可怕。像唐武宗，是唐代21位皇帝中唯一反对佛教的，他在位只有短短6年，却因看不惯佛教而下令灭佛，如果当时科学发达，他可能会对全世界的佛教进行破坏吧。根据历史分析，三武灭佛与道教有关，一宗灭佛跟儒教有关。不过也有人说，灭佛的根本原因是经济问题，这四次灭佛事件都如出一辙。由于之前几个朝代大兴佛教，如此加大了财政支出，使国库空竭。遇到外患，僧尼不能出征打仗，平时也不用缴纳赋税，给社会带来很多压力。出家人本当艰苦修行，现在都坐拥大量地产，成为了大地主，寺院经济恶性膨胀。再加上皇帝认为佛教是印度的外来文化，与汉地土生土长的宗教有冲突，鉴于种种原因，之后采取措施灭佛。为此，宋代宗颐禅师也作过检讨：“天生三武祸吾宗，释子回家塔寺空。应是昔年崇奉日，不能清俭守真风。”意思是，天上降下来的三武毁灭我们佛教，寺院和塔庙都被毁坏，释迦牟尼佛的弟子无家可归，但究其原因，也是因为昔日佛教备受推崇时，许多出家人不能安贫乐道，守持清净道风，以至于为今日种下了祸殃。禅师的这番话语，我们后学者不得不反思。现在有些出家人或修行人，知足少欲、生活简朴，行持真正的佛法，这很值得称道。但也有一部分人，游手好闲、好吃懒做，对社会和佛教没有任何贡献，反而引发世人对佛教的误解。作为一个佛教徒，倘若自己行持善法，对国家、社会会有非常大的利益，即使没能力做一些事，以清净心发愿的话，无形中也会给众生带来幸福安乐，这是毫无疑问的。反之，假如没有这样做，而是对钱财非常贪婪，从不守持清净戒律，行为也不如法，这种人泛滥成灾的话，确实给社会带来压力。所以，大家在了解人身难得的同时，对历史也有必要回顾，当前状况要跟以前佛教毁灭的因素进行对比。刚才说一个人若造下大罪，多劫中不能从恶趣解脱。因此，获得这样的人身时，无论是行善还是造恶，主权都掌握在自己手里。有些人说：“我没办法学佛，被家庭监视着、被单位控制着、被业力牵引着……”其实跟别的众生比起来，你还是有自由的。假如你变成一个旁生，想行持善法也力不从心，但现在你有了宝贵人身，面对社会、家庭的压力，肯定可以想出方法应付，关键看自己心力够不够。有一篇文章叫《握住自己快乐的钥匙》，里面就说了，一个成熟的人能掌握自己快乐的钥匙，他不必期待别人使他快乐，反而能将快乐与幸福带给别人。同样，未来快乐的钥匙，也握在我们手中，关键看自己选择什么样的方向。如果对因果循环深信不疑，则不会眼睁睁地跳入深渊，但有些人因为环境、业力等的影响，对恶趣痛苦半信半疑，这样一来，难免行为中会有一些偏差。颂云：“此身行善即是解脱舟，此身造恶便是轮回锚，此身一切善恶之奴仆。”我们这个身体若行持供灯、磕头等善法，它就是解脱之船，依此可离开烦恼和痛苦的生死大海，趋达解脱和涅槃的彼岸；这个身体如果造杀生等罪业，那么它就是轮回之锚，会让我们永远在恶趣中不能解脱。此身就像是一个奴仆，可以把家里打扫得干干净净，也可以弄得乱七八糟，所以，对于它的利害，我们不得不分析。人人都有一个身体，做任何事皆由它来实施，所以作为身体的主人——心识，必须以正知正念来守护，看身体到底在干什么，始终要有这样一种监督。我们因为往昔的善业，如今获得了暇满人身，故一定要利用它，求得殊胜妙法的精华，《入行论》亦云：“故应惜此身，独为修诸善。”除了修持善法外，身体做无记事、甚至造罪业，我们千万要制止。虽然见身犹如怨仇是众苦之源，然也应善加保护，因为此身如果具足戒律长久存活，依靠它能作广大福德。如云：“虽见身如怨，然应保护身，具戒久存活，能作大福德。”因此，行持善法之人，在世上就算住一天，也有很大的利益；而天天造恶业的人，倒不如早一点离开好，即使变成旁生也比现在强，至少不会像人一样造恶业。很多人成天吃喝玩乐、贪图钱财，在追求今生的衣食住行和世间八法中，无义虚度了宝贵人身。假如我们修行人也是这样，一辈子中没有好好行持善法，那么在临终时，只能手抓胸口、追悔莫及，这是多么令人痛心疾首的事啊！当然，极个别人不知道前世后世存在，死时就像牦牛一样，只有痛的感觉，此外对以前造业没有后悔心，对后世的恐怖也没有警惕心。其实有时看来，人类并不像所宣扬的那样聪明，一些科学家和文学家自以为有智慧，可他们连有没有来世都不清楚，对未来的事情漠不关心，这样的人会不会很聪明呢？可想而知。《入行论》也说：“既得此闲暇，若我不修善，自欺莫胜此，亦无过此愚。”我们获得了这么好的人身，如果没有修持善法，再没有比这更愚笨的了。别人骗你倒没什么，但若自己骗自己，哪有比这更过分的？遗憾的是，现在很多人因前世业力和后天教育所致，已经到了愚不可及的地步，非常可怜。在座的道友，如今获得了信仰佛教的人身，理应生起欢喜心。无垢光尊者在《大圆满心性休息·人身难得》中，专门讲了以欢喜心来随念人身 。说实话，你们有没有这种感觉？是否觉得在茫茫人海中，成千上万的人不知后世存在，而幸运的是，自己对来世还是有点准备，虽不敢说修行非常好，但对造恶业有种恐怖感，看身边人造恶业也觉得触目惊心？如果有了这种感觉，就会知道珍惜这个人身，用它来渡越生死苦海。要知道，今生是决定永善或永恶的关键。就像孩子的读书时代，是决定将来能否找到好工作的关键，我们现在也是如此，获得暇满人身的短短几十年，可决定自己来世是永远快乐，还是永远痛苦。所以，大家要深深思索：如果今生没有依靠人身得到坚固地（佛果），来世很难再获得这样的人身，一旦转生于恶趣中，到时根本没有正法光明，对取舍之处也懵然不懂，则很难从恶趣中出来，只会越来越向下堕入无边深渊，故从现在开始就必须百般努力。观想的过程中，一定要以加行发心、正行无缘、后行回向三殊胜来摄持。即最初要为利益天下无边的众生发菩提心；之后在观想时，不一定非要闭着眼睛，你可以对法本再三阅读，最后自会产生定解。有些人正听课时，觉得人身真的难得，但这种感觉就像黑夜的闪电般，很容易就消失了。堪布阿琼也比喻道，如同在火里烧得通红的铁，一取出来就会马上变黑，这些人也是同样，正在观想时眼泪簌簌直流，但出座之后，一点感觉都没有了，这就是没有长期串习的缘故。若能长期串习、一直思维，就会觉得人身实在难得，在这个世间上，除了好好地修持善法，其他一切名声、地位、悦意外境都不可靠。正如有些大德所说，就像你本来非常信任一个朋友，结果有一天他骗你了，从此之后你很绝望，对他会生起极度厌恶之心。我们若对世间一切也像这样极度厌恶，说明自己真正产生了厌世心。四种厌世心中，第一个就是人身难得。一旦这种定解在心中生起，便会长期有种出离心，除了希求解脱外，对什么都没兴趣。诚如米拉日巴尊者所言：“无人山谷岩洞中，恒具出离厌世心，上师乃为三世佛，强烈坚信永不离。”我非常喜欢这个偈颂。米拉日巴在无人的岩洞里，并不是一两天，而是恒时对轮回一切毫无兴趣，就像男女感情破裂后，觉得整个世界没有意义一样，始终有种厌离心；同时，坚信上师与三世诸佛无二无别，不是今天看见上师特别高兴，过两天就舍弃上师、诽谤上师，而是对上师的强烈信心永不退转，这是修行中特别关键的两个要点。我们提过以上学习，对于暇满难得的道理，必须屡次三番地观修，并付诸于实践。经过实地修行，对此生起定解的界限到底是怎样的呢？应当像金厄瓦格西 一样。金厄瓦格西从来都是彻夜不眠，全心全意修持善法。见此情景，善知识仲敦巴怕他身体受不了，不禁关切地说：“弟子呀，身体的疲劳还是要消除，否则会导致四大不调。”金厄瓦格西回答：“身体健康固然重要，但我一想到暇满难得，就觉得无有空闲休息。”金厄瓦格西终生没有睡眠，总共念了九亿遍不动佛心咒 。这个界限比较高啊，要像金厄瓦格西一样，永远不睡觉，连一个小时也不行，我们可能很难以做到。华智仁波切应该是有不同层次的要求，最高层次是像金厄瓦，如果实在不能达到，至少也要很精进、不偷懒。一个人一辈子念了九亿遍心咒，真的非常了不起。上师如意宝讲过，他老人家也念了九亿遍不同本尊的心咒，有一个字的，也有十几个字的。但即便是一个字的，念一亿遍其实也不容易，以前我们发愿念“阿”字时，我就念得不是很多。最近我也一直念某个咒语，但每天都念十万遍，很费劲的，平时这个事情、那个事情也多，只有起得早、睡得晚，才能挤出一点时间，否则，像我这样琐事多的人，修行非常困难。你们若想好好修行，千万不要偷懒，否则，假如睡得太厉害，几个小时不知不觉就过了。《入行论》中说：“此筏难复得，愚者勿贪眠。”我们这个人身船筏，可渡过生死轮回的大海，一旦失去了就很难再得，故愚笨的人不要天天睡懒觉。萨迦班智达也说：“诸人寿短其一半，夜间入眠如死亡。 ”我们这个人身本来就短暂，如果一半都入于睡眠，则非常可惜。像金厄瓦格西那样从来都不睡觉，对我们来讲非常困难，但即使没有这种境界，也要尽量生起人身难得的定解。假如这个理念非常强，确实不容易睡懒觉，比如你明天一早要办大事，要去北京、香港、美国，肯定想睡也睡不着；如果一点感觉都没有，便会睡得很香，人身难得修得越不好，睡的时间就越长。所以说，现在很多人特别贪睡，主要是因为修行特别差，这个一定要想方法解决。当然，完全不睡恐怕也不行。以前上师如意宝讲过，该休息的就要好好休息，当时我比较年轻，有点不理解，心想：“晚上的时间这么珍贵，最好只睡一点点就可以，怎么上师这样说呢？”可是自己到了一定年龄，就能明白上师的苦心，该睡的时候是要睡，不然的确不行。但也不能像世间人一样，整天浑浑噩噩的，什么善法都不做。这个“度”一定要把握好，不能走极端。总之，没有生起人身难得的定解之前，大家务必要精进修持。下面是这一品的总结偈：   虽得闲暇而乏真实法，虽入佛门而耽非法行，   我与如我愚痴诸有情，获得暇满实义祈加持。华智仁波切谦虚地说：虽已获得暇满人身，可修法上还是特别欠缺；虽然早就入了佛门，但仍耽著贪嗔痴所引发的种种非法行。对于我和像我这般愚痴的有情，祈愿诸佛菩萨、传承上师、护法神加持，一定要生起暇满难得的境界。其实祈祷很重要。《前行备忘录》后面对四种观修专门有祈祷和发愿，没有好好祈祷的话，光是想一想绝对不够。你们修的时候，一定要合掌念诵，闭着眼睛忆念：“依靠上师诸佛菩萨加持，让我生起暇满难得的境界。”对此要有强烈的希求心，对上师也要有不可思议的信心，在这种状态中开始观修，修行势必会成功。否则，以无所谓的态度随便想想，不可能生起任何境界。希望大家能真正生起人身难得的定解，这比什么都重要。有了这个为基础，那上面一层层的修行，一点困难都没有。相反，假如基础没有打好，上面的建筑再富丽堂皇、光彩夺目，到了一定时候也会轰然倒塌。所以，打基础对每个人来讲至关重要！"
"暇满难得之13课：暇满之因、暇满之喻";"3193";"暇满难得之13课：暇满之因、暇满之喻";"135";"2016-11-22T18:51:43";"暇满难得 -- 慧灯之光第二册http://www.huidengzhiguang.com//c/2015-12-29/1409.shtml（三）从暇满人身所需因缘思维难得这一世虽然已经得到这样的暇满人身，但下一生能不能再得呢？可以！如果下一世还想得到这样的人身，就需要作到以下三个方面：第一、持戒。此处所说的戒律，不一定是指出家人的戒律，居士的戒律也算。我们可以从居士五戒中挑选，持一条戒、二条戒、三条戒，或者四条、五条都行，而且要守持得很清净。这是最根本的一个；第二、行善。在持戒的基础上，还要行善，如布施、修行等等，要积累福德；第三、发愿。要时常祈祷：愿我生生世世能够得到暇满人身！如果有了这三种因缘，以后也有可能得到暇满人身；如果三个条件中缺少一个，就无法得到。我们现在是自由的人，又遇到了佛法，要做到这三点不是那么困难。但对其他众生，比如旁生或者天人来说，要做这三件事是非常不容易的，甚至根本无法做到。所以，从获得人身所需因缘的角度来看，暇满人身也是非常难得的。经书里有一个比喻：有一座监狱，里面有很多人在坐牢，监狱里又黑又冷，囚于其中的人每过很长一段时间，才有一次机会出来晒太阳，之后还要回去。晒太阳时，坐牢的人如果不想办法逃出去，其下场只有再度被关回牢中，别无他路。如果他利用这个机会，就可以想办法逃出去，也有办法不再坐牢。逃不逃得出去，想不想办法，主动权都在他自己，如果不愿意回去，就要想方设法逃离，如果不想办法，晒了一、两个小时太阳以后，他还会被再度关进监狱，长期承受囚禁之苦。获得暇满人身的此生，就是我们从监狱里面出来，在外面晒太阳的时候。我们要不要想办法不再重入狱中，就要看自己的意愿。如果不愿想办法也可以，没有人勉强你一定要逃出去，但这样的结果，就是还要再回到那个又黑又冷的监狱。此处的监狱，是指三恶趣，众生流转轮回的大部分时间，是在恶趣里感受无量痛苦，不得自在，好像蹲监狱一样。黑暗象征着无明，如果此生不修行，一旦堕落于恶趣，如地狱或旁生道，就根本没有修行和解脱的概念，那时就只顾得上自己的生活，其他什么都不懂，内心充满了无明，充满了黑暗。冷表示什么意思呢？在三恶趣中，地狱众生的痛苦可谓无量无边、难以尽言；而饿鬼长时感受的饥渴之苦，旁生所受的互相残杀之苦，也是我们难以想象的，所以用“冷”来表示。如果这一世不修行，我们就要回到阴冷黑暗的轮回中去。这不是佛教的教条，也不是威胁、吓唬，而是千真万确的事实。这一世不修行也可以（很多人不在乎这些，根本不修行），但是下场就是这样；修行的话，就有办法不再回到这个“监狱”，想不想办法，完全在自己的掌握之中。佛也告诉我们，只有自己才能救自己，不可能依靠别人来救。这是什么意思呢？难道佛也不需要吗？佛是需要的，佛需要出世给我们传法，但在佛陀讲完法之后，下一步就是我们自己的事情。如果自己不努力，佛也没有办法；如果努力，就完全能够改变自己的命运和前途。所以，一切都掌控在自己的手里，做不做是每个人的自由，不做就继续轮回！做就可以解脱！这是人身难得的修法。这样修一个月或者半个月左右，如果修得认真，肯定会有体会、会有收获，在此基础上就可以修下一个修法。如果没有体会，就不要着急往下修，修了也没有用！希望各位能精进修持！"
"2015届Burnaby小组共修（第三册）";"3204";"2015届Burnaby小组11月29日共修";"109";"2016-11-28T14:57:44";"2015届Burnaby小组11月29日共修星期二晚上7点，网络共修Zoom房间号码： 7789995278共修内容：  视频 慧灯禅修课之五：人身难得（四）	学修目标：  暇满人身三个难得的修法学习资料：www.huidengzhiguang.com//c/2014-12-14/2981.shtml https://www.dropbox.com/sh/38vejegtr97awy1/AADezRX-bRhLmkpx9RrKF1aRa/%E5%85%B1%E4%BF%AE%E6%B1%87%E6%80%BB/%E7%AC%AC%E4%B8%89%E5%86%8C/2016-11-05%20%E6%9A%87%E6%BB%A1%E9%9A%BE%E5%BE%97%E7%9A%84%E5%9B%A0%E7%BC%98%E5%A4%8D%E4%B9%A0?dl=0主持串讲师兄：圆顺"
"2016届Burnaby小组共修（第一册）";"3205";"2016届Burnaby小组11月30日共修";"101";"2016-11-28T14:59:51";"温哥华慧灯禅修2016届Burnaby小组11月30日共修星期三晚7:00点网络共修Zoom房间号码： 7789995278学习内容：佛教的定义 （第2次课，共2次）主持串讲师兄： Jack第一册学习资料：https://drive.google.com/folderview?id=0B0LPKwI4InkddWg0cHRpVmRMRUE&usp=sharinghttps://1drv.ms/f/s!AhwG3kI_pdhUg03rKO-nzN4b7PiG如果国内不能访问Google Drive,请用Baidu云盘访问链接: http://pan.baidu.com/s/1c1W3XAC 密码: cgfuYoutube视频频道: https://www.youtube.com/channel/UCp-m_8n7201qjJv4p9fScHg"
"2015届Burnaby小组共修（第三册）";"3273";"2015届Burnaby小组12月6日共修因下雪天气暂停一次";"109";"2016-12-19T19:12:53";"2015届Burnaby小组12月6日共修因下雪天气暂停一次"
"2015届Burnaby小组共修（第三册）";"3274";"2015届Burnaby小组12月13日共修因下雪天气暂停一次​";"109";"2016-12-19T19:13:05";"2015届Burnaby小组12月13日共修因下雪天气暂停一次​"
"2015届Burnaby小组共修（第三册）";"3275";"2015届Burnaby小组12月20日共修";"109";"2016-12-19T19:14:44";"2015届Burnaby小组12月20日共修星期二晚上7点，网络共修Zoom房间号码： 7789995278共修内容：复习人身难得学习资料：www.huidengzhiguang.com//c/2014-12-14/2981.shtml https://www.dropbox.com/sh/38vejegtr97awy1/AAAFrHKz626GUI5HeETi_gV-a/%E5%85%B1%E4%BF%AE%E6%B1%87%E6%80%BB/%E7%AC%AC%E4%B8%89%E5%86%8C?dl=0主持串讲师兄：Wendy"
"2016届Burnaby小组共修（第一册）";"3276";"2016届Burnaby小组12月7日共修因下雪天气暂停一次";"101";"2016-12-19T19:16:12";"2016届Burnaby小组12月7日共修因下雪天气暂停一次"
"2016届Burnaby小组共修（第一册）";"3277";"2016届Burnaby小组12月14日共修因下雪天气暂停一次";"101";"2016-12-19T19:16:26";"2016届Burnaby小组12月14日共修因下雪天气暂停一次"
"2016届Burnaby小组共修（第一册）";"3278";"2016届Burnaby小组12月21日共修";"101";"2016-12-19T19:18:50";"温哥华慧灯禅修2016届Burnaby小组12月21日共修星期三晚7:00点网络共修Zoom房间号码： 7789995278学习内容：解脱的原理 （第1次课，共1次）主持串讲师兄： Henry第一册学习资料：https://drive.google.com/folderview?id=0B0LPKwI4InkddWg0cHRpVmRMRUE&usp=sharinghttps://1drv.ms/f/s!AhwG3kI_pdhUg03rKO-nzN4b7PiG如果国内不能访问Google Drive,请用Baidu云盘访问链接: http://pan.baidu.com/s/1c1W3XAC 密码: cgfuYoutube视频频道:www.youtube.com/channel/UCp-m_8n7201qjJv4p9fScHg"
"温哥华2015届Burnaby小组12月27日共修";"3280";"温哥华2015届Burnaby小组12月27日共修";"138";"2016-12-26T13:44:56";"温哥华2015届Burnaby小组12月27日共修星期二晚上7点，网络共修Zoom房间号码： 7789995278共修内容：1 视频 慧灯禅修课之六：寿命无常（一） 外器世界+内情众生 观修方法https://www.youtube.com/watch?v=yBD4E2LJfXc&index=7&list=PL7aUyQTIJqAhNhpev_O9Sw0cBxfrWhP1U多伦多组的参考资料：https://www.dropbox.com/sh/38vejegtr97awy1/AAD8Z4XjIUB3Xv2evuwso5U9a/%E5%85%B1%E4%BF%AE%E6%B1%87%E6%80%BB/%E7%AC%AC%E4%B8%89%E5%86%8C/2016-11-19%20%E5%AF%BF%E5%91%BD%E6%97%A0%E5%B8%B8?dl=0学习资料：www.huidengzhiguang.com//c/2014-12-14/2981.shtml https://www.dropbox.com/sh/38vejegtr97awy1/AAAFrHKz626GUI5HeETi_gV-a/%E5%85%B1%E4%BF%AE%E6%B1%87%E6%80%BB/%E7%AC%AC%E4%B8%89%E5%86%8C?dl=0主持串讲师兄：圆虚"
"温哥华2016届Burnaby小组12月28日共修";"3281";"温哥华2016届Burnaby小组12月28日共修";"139";"2016-12-26T13:50:45";"温哥华2016届Burnaby小组12月28日共修星期三晚7:00点网络共修Zoom房间号码： 7789995278学习内容：解脱的原理 （复习）主持串讲师兄： Henry对初学者的教诲（第1次，共2次） Tracy师兄第一册学习资料：https://drive.google.com/folderview?id=0B0LPKwI4InkddWg0cHRpVmRMRUE&usp=sharinghttps://1drv.ms/f/s!AhwG3kI_pdhUg03rKO-nzN4b7PiG如果国内不能访问Google Drive,请用Baidu云盘访问链接: http://pan.baidu.com/s/1c1W3XAC 密码: cgfuYoutube视频频道:www.youtube.com/channel/UCp-m_8n7201qjJv4p9fScHg如果因下雪路况不好的话，我们就在Zoom上共修讨论"
"test";"3294";"test";"142";"2016-12-29T16:32:26";"[attachment=78]pic4.jpg[/attachment] [attachment=79]114533855.jpg[/attachment]"
"温哥华慧灯禅修会注册";"3300";"温哥华慧灯禅修会注册";"146";"2017-01-02T13:04:57";"https://goo.gl/forms/BIFC1INSVxcjjqV72"
